Feature,Value
Heart Rate (BPM),19.45788927687796
Respiratory Rate (breaths/min),15.496043184319479
Systolic Amplitude,1.0
SNR,16.66608424274189
Kurtosis,0.5683443291908925
Skewness,-1.2041326610970702
Irregular Heart Rate,True
Abnormal Waveform,True
Mean Heart Rate,"{'mean_heart_rate': np.float64(19.45788927687796), 'heart_rates': array([20.26385224, 20.        , 13.21858864, 28.55018587,  7.44186047,
        4.75836431, 25.68561873,  5.87155963, 22.19653179, 18.07058824,
       20.15748031, 25.43046358, 18.6407767 , 25.09803922, 18.15602837,
       25.34653465, 16.03340292, 16.84210526, 24.77419355, 20.42553191,
       23.13253012, 29.42528736, 21.51260504, 16.4806867 , 24.30379747,
       21.15702479, 26.66666667, 16.95364238, 22.45614035, 30.84337349,
       18.15602837, 24.        , 18.91625616, 23.48623853,  7.09796673,
       29.20152091, 22.45614035, 20.05221932, 24.30379747, 21.57303371,
       22.58823529, 19.69230769, 21.04109589, 31.09311741, 32.96137339,
        8.52386238, 34.28571429, 10.21276596,  6.90026954,  5.44294826,
       21.15702479,  5.78749058, 44.65116279, 22.72189349, 13.52112676,
       22.99401198,  6.9251578 , 10.05235602, 14.65648855, 16.91629956,
       23.06306306, 24.22712934, 22.39067055, 25.18032787, 18.24228029,
       17.41496599, 15.48387097, 24.30379747,  7.26584674, 28.23529412,
       21.21546961, 14.62857143, 21.94285714, 23.55828221, 14.43609023,
       15.        , 28.87218045,  2.30977444, 16.4806867 , 18.19905213,
       24.        , 25.34653465,  4.75247525, 10.29490617, 35.2293578 ,
       18.6407767 , 32.13389121, 22.52199413, 19.34508816,  6.79045093,
       17.9020979 , 15.80246914, 16.73202614, 13.56890459, 29.65250965,
       30.72      , 11.26099707, 14.51795841, 13.61702128, 31.73553719,
       14.11764706, 24.22712934, 18.19905213, 32.40506329,  7.76541962,
        8.79725086, 16.84210526, 26.48275862, 27.23404255, 31.09311741,
       19.49238579, 21.63380282, 12.6523888 , 29.20152091, 13.42657343,
       15.14792899, 12.46753247, 40.20942408,  5.41226216, 20.98360656,
       13.88788427, 10.95577746, 13.24137931,  9.06729634, 28.02919708,
       23.92523364, 25.26315789, 14.27509294, 27.13780919, 16.10062893,
       18.11320755, 23.34346505,  9.51672862, 18.77750611, 19.29648241,
       31.73553719, 28.55018587, 10.95577746,  9.74619289, 11.46268657,
       10.44897959, 11.39465875, 11.56626506, 31.09311741, 19.29648241,
       36.39810427, 16.91629956, 23.55828221, 18.07058824, 10.49180328])}"
Mean Respiratory Rate,15.496043184319479
Mean Systolic Amplitude,1.0
Arrhythmia Detected,Yes
Segment Time Start,4.03125
Segment Time End,547.46875
